avhengig_var,kjønn,utdanning,alder,inntekt
25,mann,grunnskole,52,547
37,kvinne,grunnskole,59,728
27,kvinne,videregående,53,1768
15,kvinne,grunnskole,43,547
38,mann,høyere,74,433
26,mann,høyere,19,339
20,kvinne,høyere,50,1178
47,kvinne,videregående,54,1130
34,mann,grunnskole,79,386
30,kvinne,grunnskole,42,876
4,kvinne,høyere,52,406
35,kvinne,videregående,68,389
67,mann,høyere,54,1139
33,mann,grunnskole,58,377
27,kvinne,videregående,46,661
39,kvinne,høyere,63,388
57,kvinne,videregående,47,285
18,mann,grunnskole,36,398
33,kvinne,videregående,63,253
27,mann,grunnskole,58,388
18,kvinne,høyere,49,579
22,kvinne,videregående,40,391
26,mann,høyere,38,612
31,kvinne,videregående,45,1170
19,kvinne,grunnskole,36,572
10,mann,høyere,40,321
32,kvinne,grunnskole,48,1093
51,mann,grunnskole,61,1131
40,mann,grunnskole,53,293
66,mann,høyere,37,236
38,kvinne,høyere,26,986
18,kvinne,videregående,47,599
50,kvinne,høyere,25,641
54,mann,høyere,61,496
39,mann,videregående,57,180
90,mann,videregående,48,1952
46,kvinne,videregående,61,122
35,kvinne,videregående,55,394
19,kvinne,høyere,21,511
34,kvinne,videregående,55,386
40,mann,høyere,62,839
40,kvinne,videregående,42,255
41,mann,videregående,48,478
28,kvinne,grunnskole,32,955
41,mann,videregående,29,480
36,kvinne,videregående,62,1269
49,kvinne,videregående,23,758
21,kvinne,grunnskole,40,485
43,mann,videregående,30,298
50,kvinne,høyere,48,951
5,mann,grunnskole,28,546
31,kvinne,videregående,58,831
58,mann,videregående,65,408
21,kvinne,høyere,48,627
24,kvinne,grunnskole,58,678
18,kvinne,videregående,57,367
18,mann,høyere,33,978
43,mann,høyere,61,900
26,kvinne,høyere,60,296
40,kvinne,grunnskole,67,1006
67,mann,grunnskole,41,1052
32,kvinne,høyere,48,469
24,mann,høyere,35,658
34,kvinne,høyere,77,523
43,mann,videregående,55,618
28,kvinne,grunnskole,55,1092
52,kvinne,høyere,44,688
59,mann,grunnskole,78,815
8,kvinne,grunnskole,32,1220
30,kvinne,høyere,36,476
7,kvinne,høyere,44,589
13,kvinne,høyere,33,1555
51,mann,videregående,40,853
38,mann,grunnskole,21,462
48,kvinne,høyere,83,1056
35,mann,videregående,49,1296
25,kvinne,videregående,47,787
19,kvinne,grunnskole,40,618
53,mann,grunnskole,35,1120
34,kvinne,høyere,36,940
31,kvinne,videregående,61,1915
22,kvinne,videregående,39,446
29,mann,videregående,21,434
56,mann,grunnskole,71,353
30,mann,videregående,47,555
56,kvinne,høyere,51,1438
26,mann,videregående,47,1796
53,mann,grunnskole,43,414
20,mann,videregående,37,351
33,mann,videregående,57,633
66,mann,videregående,42,1119
51,kvinne,videregående,38,943
23,mann,høyere,66,1280
42,mann,videregående,57,202
42,mann,videregående,42,982
46,kvinne,høyere,60,805
40,mann,høyere,71,477
18,kvinne,høyere,79,757
0,kvinne,høyere,47,635
19,kvinne,høyere,33,462
15,kvinne,videregående,35,523
19,mann,grunnskole,31,278
1,kvinne,videregående,48,384
10,kvinne,høyere,67,808
48,mann,høyere,45,1083
33,kvinne,høyere,41,4954
36,kvinne,videregående,58,1166
26,mann,høyere,26,205
23,mann,videregående,72,1660
30,mann,høyere,91,534
18,kvinne,høyere,71,232
31,mann,høyere,20,273
45,mann,grunnskole,40,354
0,kvinne,grunnskole,28,388
38,mann,høyere,51,973
