avhengig_var,kjønn,utdanning,alder,inntekt
39,mann,grunnskole,52,547
46,kvinne,grunnskole,59,728
45,kvinne,videregående,53,1768
37,kvinne,grunnskole,43,547
46,mann,høyere,74,433
37,mann,høyere,19,339
42,kvinne,høyere,50,1178
51,kvinne,videregående,54,1130
44,mann,grunnskole,79,386
43,kvinne,grunnskole,42,876
34,kvinne,høyere,52,406
45,kvinne,videregående,68,389
56,mann,høyere,54,1139
42,mann,grunnskole,58,377
42,kvinne,videregående,46,661
47,kvinne,høyere,63,388
50,kvinne,videregående,47,285
35,mann,grunnskole,36,398
43,kvinne,videregående,63,253
40,mann,grunnskole,58,388
39,kvinne,høyere,49,579
39,kvinne,videregående,40,391
39,mann,høyere,38,612
45,kvinne,videregående,45,1170
38,kvinne,grunnskole,36,572
33,mann,høyere,40,321
45,kvinne,grunnskole,48,1093
50,mann,grunnskole,61,1131
43,mann,grunnskole,53,293
51,mann,høyere,37,236
46,kvinne,høyere,26,986
39,kvinne,videregående,47,599
48,kvinne,høyere,25,641
50,mann,høyere,61,496
43,mann,videregående,57,180
63,mann,videregående,48,1952
45,kvinne,videregående,61,122
44,kvinne,videregående,55,394
37,kvinne,høyere,21,511
44,kvinne,videregående,55,386
46,mann,høyere,62,839
44,kvinne,videregående,42,255
44,mann,videregående,48,478
42,kvinne,grunnskole,32,955
43,mann,videregående,29,480
48,kvinne,videregående,62,1269
48,kvinne,videregående,23,758
39,kvinne,grunnskole,40,485
43,mann,videregående,30,298
51,kvinne,høyere,48,951
31,mann,grunnskole,28,546
45,kvinne,videregående,58,831
51,mann,videregående,65,408
41,kvinne,høyere,48,627
42,kvinne,grunnskole,58,678
38,kvinne,videregående,57,367
37,mann,høyere,33,978
48,mann,høyere,61,900
41,kvinne,høyere,60,296
49,kvinne,grunnskole,67,1006
54,mann,grunnskole,41,1052
43,kvinne,høyere,48,469
39,mann,høyere,35,658
47,kvinne,høyere,77,523
46,mann,videregående,55,618
44,kvinne,grunnskole,55,1092
51,kvinne,høyere,44,688
54,mann,grunnskole,78,815
36,kvinne,grunnskole,32,1220
42,kvinne,høyere,36,476
35,kvinne,høyere,44,589
39,kvinne,høyere,33,1555
48,mann,videregående,40,853
41,mann,grunnskole,21,462
54,kvinne,høyere,83,1056
44,mann,videregående,49,1296
42,kvinne,videregående,47,787
38,kvinne,grunnskole,40,618
49,mann,grunnskole,35,1120
45,kvinne,høyere,36,940
47,kvinne,videregående,61,1915
39,kvinne,videregående,39,446
38,mann,videregående,21,434
50,mann,grunnskole,71,353
41,mann,videregående,47,555
54,kvinne,høyere,51,1438
42,mann,videregående,47,1796
47,mann,grunnskole,43,414
36,mann,videregående,37,351
43,mann,videregående,57,633
54,mann,videregående,42,1119
50,kvinne,videregående,38,943
42,mann,høyere,66,1280
44,mann,videregående,57,202
46,mann,videregående,42,982
50,kvinne,høyere,60,805
46,mann,høyere,71,477
42,kvinne,høyere,79,757
31,kvinne,høyere,47,635
38,kvinne,høyere,33,462
36,kvinne,videregående,35,523
34,mann,grunnskole,31,278
32,kvinne,videregående,48,384
39,kvinne,høyere,67,808
48,mann,høyere,45,1083
49,kvinne,høyere,41,4954
47,kvinne,videregående,58,1166
36,mann,høyere,26,205
43,mann,videregående,72,1660
45,mann,høyere,91,534
39,kvinne,høyere,71,232
38,mann,høyere,20,273
44,mann,grunnskole,40,354
23,kvinne,grunnskole,28,388
45,mann,høyere,51,973
44,mann,høyere,51,764
46,kvinne,høyere,30,1175
44,kvinne,høyere,49,3237
49,kvinne,videregående,25,2195
37,kvinne,grunnskole,23,455
42,mann,høyere,56,239
45,mann,grunnskole,66,297
46,mann,grunnskole,31,768
44,mann,videregående,44,683
41,kvinne,grunnskole,37,875
45,kvinne,høyere,47,1292
39,kvinne,grunnskole,50,433
46,kvinne,videregående,29,1186
48,mann,grunnskole,67,283
39,kvinne,høyere,48,146
48,mann,videregående,51,445
43,mann,videregående,36,1082
55,mann,høyere,74,1168
56,mann,videregående,66,2046
45,kvinne,videregående,57,706
43,mann,videregående,36,1072
43,mann,videregående,74,552
49,mann,høyere,41,3383
